framework,module,file,kind,namespace,type,member,signature
RCore,Audio,Assets\RCore\Main\Runtime\Audio\AudioCollection.cs,class,RCore.Audio,AudioCollection,,public class AudioCollection : ScriptableObject
RCore,Audio,Assets\RCore\Main\Runtime\Audio\AudioCollection.cs,struct,RCore.Audio,ScriptGenerator,,public struct ScriptGenerator
RCore,Audio,Assets\RCore\Main\Runtime\Audio\AudioManager.cs,class,RCore.Audio,AudioManager,,public class AudioManager : BaseAudioManager
RCore,Audio,Assets\RCore\Main\Runtime\Audio\BaseAudioManager.cs,struct,RCore.Audio,UISfxTriggeredEvent,,public struct UISfxTriggeredEvent : BaseEvent
RCore,Audio,Assets\RCore\Main\Runtime\Audio\BaseAudioManager.cs,class,RCore.Audio,BaseAudioManager,,public class BaseAudioManager : MonoBehaviour
RCore,Audio,Assets\RCore\Main\Runtime\Audio\SfxSource.cs,class,RCore.Audio,SfxSource,,public class SfxSource : MonoBehaviour
RCore,Common,Assets\RCore\Main\Runtime\Common\AnimEventListener.cs,class,RCore,AnimEventListener,,public class AnimEventListener : MonoBehaviour
RCore,Common,Assets\RCore\Main\Runtime\Common\AssetsList.cs,class,RCore,AssetsList,,public class AssetsList<T> where T : Object
RCore,Common/BigNumber,Assets\RCore\Main\Runtime\Common\BigNumber\BigNumberD.cs,class,RCore,BigNumberD,,public class BigNumberD : IComparable<BigNumberD>
RCore,Common/BigNumber,Assets\RCore\Main\Runtime\Common\BigNumber\BigNumberF.cs,class,RCore,BigNumberF,,public class BigNumberF : IComparable<BigNumberF>
RCore,Common/BigNumber,Assets\RCore\Main\Runtime\Common\BigNumber\BigNumberF.cs,class,RCore,BigNumberAlphaExtension,,public static class BigNumberAlphaExtension
RCore,Common/BigNumber,Assets\RCore\Main\Runtime\Common\BigNumber\BigNumberHelper.cs,class,RCore,BigNumberHelper,,public static class BigNumberHelper
RCore,Common/Debug,Assets\RCore\Main\Runtime\Common\Debug\Debug.cs,class,RCore,Debug,,public static class Debug
RCore,Common/Debug,Assets\RCore\Main\Runtime\Common\Debug\DebugDraw.cs,class,RCore,DebugDraw,,public static class DebugDraw
RCore,Common/Debug,Assets\RCore\Main\Runtime\Common\Debug\DebugDraw.cs,class,RCore,FOVInfo,,public class FOVInfo
RCore,Common,Assets\RCore\Main\Runtime\Common\DontDestroyedGroup.cs,class,RCore,DontDestroyedGroup,,public class DontDestroyedGroup : MonoBehaviour
RCore,Common,Assets\RCore\Main\Runtime\Common\Encryption.cs,interface,,IEncryption,,public interface IEncryption
RCore,Common,Assets\RCore\Main\Runtime\Common\Encryption.cs,class,,Encryption,,public class Encryption : IEncryption
RCore,Common,Assets\RCore\Main\Runtime\Common\ENV.cs,class,RCore,Env,,public static class Env
RCore,Common,Assets\RCore\Main\Runtime\Common\EventDispatcher.cs,class,RCore,EventDispatcher,,public static class EventDispatcher
RCore,Common,Assets\RCore\Main\Runtime\Common\EventDispatcher.cs,delegate,RCore,void,,public delegate void EventDelegate<T>(T e) where T : BaseEvent;
RCore,Common,Assets\RCore\Main\Runtime\Common\EventDispatcher.cs,interface,RCore,BaseEvent,,public interface BaseEvent { }
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\Addressable\AddressableHelper.cs,class,RCore,AddressableUtil,,public static class AddressableUtil
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\Addressable\AssetBundleRef.cs,class,RCore,AssetBundleRef,,public class AssetBundleRef<M> where M : Object
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\Addressable\AssetBundleRef.cs,class,RCore,AssetBundleWithEnumKey,,"public class AssetBundleWithEnumKey<T, M> : AssetBundleRef<M> where T : Enum where M : Object"
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\Addressable\AssetBundleRef.cs,class,RCore,AssetBundleWith2EnumKeys,,"public class AssetBundleWith2EnumKeys<T1, T2, M> : AssetBundleRef<M>"
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\Addressable\AssetBundleRef.cs,class,RCore,AssetBundleWithIntKey,,public class AssetBundleWithIntKey<M> : AssetBundleRef<M> where M : Object
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\Addressable\AssetBundleWrap.cs,class,RCore,AssetBundleWrap,,public class AssetBundleWrap<T> where T : Component
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\Addressable\AssetRef.cs,class,RCore,AssetRef_SpriteAtlas,,public class AssetRef_SpriteAtlas : AssetReferenceT<SpriteAtlas>
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\Addressable\AssetRef.cs,class,RCore,AssetRef_FontAsset,,public class AssetRef_FontAsset : AssetReferenceT<TMP_FontAsset>
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\Addressable\ComponentRef.cs,class,RCore,ComponentRef,,public class ComponentRef<TComponent> : AssetReference where TComponent : Component
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\Addressable\ComponentRef.cs,class,RCore,ComponentRef_SpriteRenderer,,public class ComponentRef_SpriteRenderer : ComponentRef<SpriteRenderer>
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\CameraHelper.cs,class,RCore,CameraHelper,,public static class CameraHelper
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\ColorHelper.cs,class,RCore,ColorExtension,,public static class ColorExtension
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\ColorHelper.cs,class,RCore,ColorHelper,,public static class ColorHelper
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\ComponentHelper.cs,class,RCore,ComponentHelper,,public static class ComponentHelper
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\ComponentHelper.cs,class,RCore,ComponentExtension,,public static class ComponentExtension
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\DebugDrawHelper.cs,class,RCore,DebugDrawHelper,,public static class DebugDrawHelper
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\EditorHelper\DateTimePickerWindow.cs,class,RCore.Editor,DateTimePickerWindow,,public class DateTimePickerWindow : EditorWindow
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\EditorHelper\EditorAssetUtil.cs,class,RCore.Editor,EditorAssetUtil,,public static class EditorAssetUtil
